query_path,query_name,query_label,P@20,P@40,P@60
d:\CODE\PY\BJTU_Vision\image_retrieval\query\nm-333999ddw.jpg,nm-333999ddw.jpg,nm,0.0,0.025,0.03333333333333333
d:\CODE\PY\BJTU_Vision\image_retrieval\query\nm-3617a693-2630-4559-85a9-40ba5fe22814.png,nm-3617a693-2630-4559-85a9-40ba5fe22814.png,nm,0.25,0.15,0.11666666666666667
d:\CODE\PY\BJTU_Vision\image_retrieval\query\nm-76y4s0i1mvx7dzn.jpg,nm-76y4s0i1mvx7dzn.jpg,nm,0.0,0.025,0.05
d:\CODE\PY\BJTU_Vision\image_retrieval\query\nm-7846a5d1.jpg,nm-7846a5d1.jpg,nm,0.25,0.175,0.13333333333333333
d:\CODE\PY\BJTU_Vision\image_retrieval\query\nm-adhin12872.png,nm-adhin12872.png,nm,0.25,0.175,0.16666666666666666
d:\CODE\PY\BJTU_Vision\image_retrieval\query\nm-clp8263785432.png,nm-clp8263785432.png,nm,0.1,0.075,0.05
d:\CODE\PY\BJTU_Vision\image_retrieval\query\nm-dnwgjru2313432.jpg,nm-dnwgjru2313432.jpg,nm,0.05,0.05,0.03333333333333333
d:\CODE\PY\BJTU_Vision\image_retrieval\query\nm-ffh2iohf12.jpg,nm-ffh2iohf12.jpg,nm,0.5,0.3,0.25
d:\CODE\PY\BJTU_Vision\image_retrieval\query\nm-fwbiwebfiqf.jpg,nm-fwbiwebfiqf.jpg,nm,0.0,0.0,0.016666666666666666
d:\CODE\PY\BJTU_Vision\image_retrieval\query\nm-gbvfhc6dy57nurgyh.jpg,nm-gbvfhc6dy57nurgyh.jpg,nm,0.35,0.225,0.2
d:\CODE\PY\BJTU_Vision\image_retrieval\query\nm-hfibcg57864548.jpg,nm-hfibcg57864548.jpg,nm,0.05,0.075,0.05
d:\CODE\PY\BJTU_Vision\image_retrieval\query\nm-jb56n5y7s2.jpg,nm-jb56n5y7s2.jpg,nm,0.1,0.1,0.08333333333333333
d:\CODE\PY\BJTU_Vision\image_retrieval\query\nm-osahf87951.png,nm-osahf87951.png,nm,0.25,0.225,0.21666666666666667
d:\CODE\PY\BJTU_Vision\image_retrieval\query\sjz-202405152208453.jpg,sjz-202405152208453.jpg,sjz,0.15,0.1,0.08333333333333333
d:\CODE\PY\BJTU_Vision\image_retrieval\query\sjz-20250507193257.jpg,sjz-20250507193257.jpg,sjz,0.4,0.375,0.31666666666666665
d:\CODE\PY\BJTU_Vision\image_retrieval\query\sjz-20260511140034_148_105(1).jpg,sjz-20260511140034_148_105(1).jpg,sjz,0.1,0.1,0.15
d:\CODE\PY\BJTU_Vision\image_retrieval\query\sjz-2f3g4h5i6j7k.jpg,sjz-2f3g4h5i6j7k.jpg,sjz,0.3,0.15,0.11666666666666667
d:\CODE\PY\BJTU_Vision\image_retrieval\query\sjz-4684144sada.jpg,sjz-4684144sada.jpg,sjz,0.55,0.45,0.38333333333333336
